#,Stack,Input,Action
263,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 16 35 44,") fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r73 (<fator> → <variavel>)
264,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 16 35 40,") fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
265,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 16 35 40 83,") fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r64 (<termo> → <fator> <rep_termo>)
266,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 16 35 39,") fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r60 (<rep_expsimp> → )
267,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 16 35 39 78,") fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r58 (<expsimp> → <termo> <rep_expsimp>)
268,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 16 35 38,") fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r51 (<resto_expressao> → )
269,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 16 35 38 70,") fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r49 (<expressao> → <expsimp> <resto_expressao>)
270,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 16 35 67,") fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r48 (<rep_expressao> → )
271,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 16 35 67 113,") fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s139
272,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 16 35 67 113 139,"fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r45 (<rcomid> → ( <expressao> <rep_expressao> ))
273,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 16 32,"fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r33 (<comando> → id <rcomid>)
274,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 64,"fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r32 (<rep_comando> → )
275,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 64 111,"fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r31 (<rep_comando> → ; <comando> <rep_comando>)
276,0 3 7 24 56 26 58 101 131 152 165 171 6 15 30,"fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s63
277,0 3 7 24 56 26 58 101 131 152 165 171 6 15 30 63,"; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r30 (<comandos> → inicio <comando> <rep_comando> fim)
278,0 3 7 24 56 26 58 101 131 152 165 171 176,"; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r10 (<dcl_proc> → funcao id <parametros> : <tipo_pre_def> ; <declaracoes> <comandos>)
279,0 3 7 24 56 24,"; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s56
280,0 3 7 24 56 24 56,"inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r8 (<dcl_procs> → )
281,0 3 7 24 56 24 56 98,"inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r7 (<dcl_procs> → <dcl_proc> ; <dcl_procs>)
282,0 3 7 24 56 98,"inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r7 (<dcl_procs> → <dcl_proc> ; <dcl_procs>)
283,0 3 7 23,"inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r2 (<declaracoes> → <dcl_const> <dcl_var> <dcl_procs>)
284,0 2,"inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s6
285,0 2 6,"id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s16
286,0 2 6 16,":= num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s33
287,0 2 6 16 33,"num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s47
288,0 2 6 16 33 47,"; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r79 (<constante_explicita> → num_int)
289,0 2 6 16 33 45,"; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r74 (<fator> → <constante_explicita>)
290,0 2 6 16 33 40,"; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
291,0 2 6 16 33 40 83,"; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r64 (<termo> → <fator> <rep_termo>)
292,0 2 6 16 33 39,"; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r60 (<rep_expsimp> → )
293,0 2 6 16 33 39 78,"; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r58 (<expsimp> → <termo> <rep_expsimp>)
294,0 2 6 16 33 38,"; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r51 (<resto_expressao> → )
295,0 2 6 16 33 38 70,"; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r49 (<expressao> → <expsimp> <resto_expressao>)
296,0 2 6 16 33 65,"; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r43 (<rcomid> → := <expressao>)
297,0 2 6 16 32,"; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r33 (<comando> → id <rcomid>)
298,0 2 6 15,"; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s31
299,0 2 6 15 31,"id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s16
300,0 2 6 15 31 16,":= num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s33
301,0 2 6 15 31 16 33,"num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s47
302,0 2 6 15 31 16 33 47,"; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r79 (<constante_explicita> → num_int)
303,0 2 6 15 31 16 33 45,"; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r74 (<fator> → <constante_explicita>)
304,0 2 6 15 31 16 33 40,"; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
305,0 2 6 15 31 16 33 40 83,"; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r64 (<termo> → <fator> <rep_termo>)
306,0 2 6 15 31 16 33 39,"; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r60 (<rep_expsimp> → )
307,0 2 6 15 31 16 33 39 78,"; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r58 (<expsimp> → <termo> <rep_expsimp>)
308,0 2 6 15 31 16 33 38,"; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r51 (<resto_expressao> → )
309,0 2 6 15 31 16 33 38 70,"; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r49 (<expressao> → <expsimp> <resto_expressao>)
310,0 2 6 15 31 16 33 65,"; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r43 (<rcomid> → := <expressao>)
311,0 2 6 15 31 16 32,"; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r33 (<comando> → id <rcomid>)
312,0 2 6 15 31 64,"; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s31
313,0 2 6 15 31 64 31,"id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s16
314,0 2 6 15 31 64 31 16,":= id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s33
315,0 2 6 15 31 64 31 16 33,"id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s46
316,0 2 6 15 31 64 31 16 33 46,"( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s92
317,0 2 6 15 31 64 31 16 33 46 92,"id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s46
318,0 2 6 15 31 64 31 16 33 46 92 46,", id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r78 (<rvar> → )
319,0 2 6 15 31 64 31 16 33 46 92 46 91,", id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r75 (<variavel> → id <rvar>)
320,0 2 6 15 31 64 31 16 33 46 92 44,", id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r73 (<fator> → <variavel>)
321,0 2 6 15 31 64 31 16 33 46 92 40,", id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
322,0 2 6 15 31 64 31 16 33 46 92 40 83,", id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r64 (<termo> → <fator> <rep_termo>)
323,0 2 6 15 31 64 31 16 33 46 92 39,", id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r60 (<rep_expsimp> → )
324,0 2 6 15 31 64 31 16 33 46 92 39 78,", id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r58 (<expsimp> → <termo> <rep_expsimp>)
325,0 2 6 15 31 64 31 16 33 46 92 38,", id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r51 (<resto_expressao> → )
326,0 2 6 15 31 64 31 16 33 46 92 38 70,", id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r49 (<expressao> → <expsimp> <resto_expressao>)
327,0 2 6 15 31 64 31 16 33 46 92 121,", id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s114
328,0 2 6 15 31 64 31 16 33 46 92 121 114,"id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s46
329,0 2 6 15 31 64 31 16 33 46 92 121 114 46,") ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r78 (<rvar> → )
330,0 2 6 15 31 64 31 16 33 46 92 121 114 46 91,") ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r75 (<variavel> → id <rvar>)
331,0 2 6 15 31 64 31 16 33 46 92 121 114 44,") ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r73 (<fator> → <variavel>)
332,0 2 6 15 31 64 31 16 33 46 92 121 114 40,") ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
333,0 2 6 15 31 64 31 16 33 46 92 121 114 40 83,") ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r64 (<termo> → <fator> <rep_termo>)
334,0 2 6 15 31 64 31 16 33 46 92 121 114 39,") ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r60 (<rep_expsimp> → )
335,0 2 6 15 31 64 31 16 33 46 92 121 114 39 78,") ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r58 (<expsimp> → <termo> <rep_expsimp>)
336,0 2 6 15 31 64 31 16 33 46 92 121 114 38,") ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r51 (<resto_expressao> → )
337,0 2 6 15 31 64 31 16 33 46 92 121 114 38 70,") ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r49 (<expressao> → <expsimp> <resto_expressao>)
338,0 2 6 15 31 64 31 16 33 46 92 121 114 140,") ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r48 (<rep_expressao> → )
339,0 2 6 15 31 64 31 16 33 46 92 121 114 140 159,") ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $","r47 (<rep_expressao> → , <expressao> <rep_expressao>)"
340,0 2 6 15 31 64 31 16 33 46 92 121 145,") ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s161
341,0 2 6 15 31 64 31 16 33 46 92 121 145 161,"; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r76 (<rvar> → ( <expressao> <rep_expressao> ))
342,0 2 6 15 31 64 31 16 33 46 91,"; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r75 (<variavel> → id <rvar>)
343,0 2 6 15 31 64 31 16 33 44,"; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r73 (<fator> → <variavel>)
344,0 2 6 15 31 64 31 16 33 40,"; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
345,0 2 6 15 31 64 31 16 33 40 83,"; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r64 (<termo> → <fator> <rep_termo>)
346,0 2 6 15 31 64 31 16 33 39,"; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r60 (<rep_expsimp> → )
347,0 2 6 15 31 64 31 16 33 39 78,"; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r58 (<expsimp> → <termo> <rep_expsimp>)
348,0 2 6 15 31 64 31 16 33 38,"; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r51 (<resto_expressao> → )
349,0 2 6 15 31 64 31 16 33 38 70,"; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r49 (<expressao> → <expsimp> <resto_expressao>)
350,0 2 6 15 31 64 31 16 33 65,"; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r43 (<rcomid> → := <expressao>)
351,0 2 6 15 31 64 31 16 32,"; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r33 (<comando> → id <rcomid>)
352,0 2 6 15 31 64 31 64,"; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s31
353,0 2 6 15 31 64 31 64 31,"enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s19
354,0 2 6 15 31 64 31 64 31 19,"id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s46
355,0 2 6 15 31 64 31 64 31 19 46,"> num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r78 (<rvar> → )
356,0 2 6 15 31 64 31 64 31 19 46 91,"> num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r75 (<variavel> → id <rvar>)
357,0 2 6 15 31 64 31 64 31 19 44,"> num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r73 (<fator> → <variavel>)
358,0 2 6 15 31 64 31 64 31 19 40,"> num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
359,0 2 6 15 31 64 31 64 31 19 40 83,"> num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r64 (<termo> → <fator> <rep_termo>)
360,0 2 6 15 31 64 31 64 31 19 39,"> num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r60 (<rep_expsimp> → )
361,0 2 6 15 31 64 31 64 31 19 39 78,"> num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r58 (<expsimp> → <termo> <rep_expsimp>)
362,0 2 6 15 31 64 31 64 31 19 38,"> num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s74
363,0 2 6 15 31 64 31 64 31 19 38 74,"num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r54 (<oprel> → >)
364,0 2 6 15 31 64 31 64 31 19 38 71,"num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s47
365,0 2 6 15 31 64 31 64 31 19 38 71 47,"faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r79 (<constante_explicita> → num_int)
366,0 2 6 15 31 64 31 64 31 19 38 71 45,"faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r74 (<fator> → <constante_explicita>)
367,0 2 6 15 31 64 31 64 31 19 38 71 40,"faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
368,0 2 6 15 31 64 31 64 31 19 38 71 40 83,"faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r64 (<termo> → <fator> <rep_termo>)
369,0 2 6 15 31 64 31 64 31 19 38 71 39,"faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r60 (<rep_expsimp> → )
370,0 2 6 15 31 64 31 64 31 19 38 71 39 78,"faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r58 (<expsimp> → <termo> <rep_expsimp>)
371,0 2 6 15 31 64 31 64 31 19 38 71 117,"faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r50 (<resto_expressao> → <oprel> <expsimp>)
372,0 2 6 15 31 64 31 64 31 19 38 70,"faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r49 (<expressao> → <expsimp> <resto_expressao>)
373,0 2 6 15 31 64 31 64 31 19 52,"faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s94
374,0 2 6 15 31 64 31 64 31 19 52 94,"inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s17
375,0 2 6 15 31 64 31 64 31 19 52 94 17,"escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s22
376,0 2 6 15 31 64 31 64 31 19 52 94 17 22,"( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s55
377,0 2 6 15 31 64 31 64 31 19 52 94 17 22 55,"id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s46
378,0 2 6 15 31 64 31 64 31 19 52 94 17 22 55 46,") ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r78 (<rvar> → )
379,0 2 6 15 31 64 31 64 31 19 52 94 17 22 55 46 91,") ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r75 (<variavel> → id <rvar>)
380,0 2 6 15 31 64 31 64 31 19 52 94 17 22 55 44,") ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r73 (<fator> → <variavel>)
381,0 2 6 15 31 64 31 64 31 19 52 94 17 22 55 40,") ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
382,0 2 6 15 31 64 31 64 31 19 52 94 17 22 55 40 83,") ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r64 (<termo> → <fator> <rep_termo>)
383,0 2 6 15 31 64 31 64 31 19 52 94 17 22 55 39,") ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r60 (<rep_expsimp> → )
384,0 2 6 15 31 64 31 64 31 19 52 94 17 22 55 39 78,") ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r58 (<expsimp> → <termo> <rep_expsimp>)
385,0 2 6 15 31 64 31 64 31 19 52 94 17 22 55 38,") ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r51 (<resto_expressao> → )
386,0 2 6 15 31 64 31 64 31 19 52 94 17 22 55 38 70,") ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r49 (<expressao> → <expsimp> <resto_expressao>)
387,0 2 6 15 31 64 31 64 31 19 52 94 17 22 55 97,") ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r48 (<rep_expressao> → )
388,0 2 6 15 31 64 31 64 31 19 52 94 17 22 55 97 126,") ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s147
389,0 2 6 15 31 64 31 64 31 19 52 94 17 22 55 97 126 147,"; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r39 (<comando> → escreva ( <expressao> <rep_expressao> ))
390,0 2 6 15 31 64 31 64 31 19 52 94 17 36,"; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s31
391,0 2 6 15 31 64 31 64 31 19 52 94 17 36 31,"id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s16
392,0 2 6 15 31 64 31 64 31 19 52 94 17 36 31 16,":= id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s33
393,0 2 6 15 31 64 31 64 31 19 52 94 17 36 31 16 33,"id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s46
394,0 2 6 15 31 64 31 64 31 19 52 94 17 36 31 16 33 46,"- num_int fim ; repita leia ( id , id ) ate id = id fim . $",r78 (<rvar> → )
395,0 2 6 15 31 64 31 64 31 19 52 94 17 36 31 16 33 46 91,"- num_int fim ; repita leia ( id , id ) ate id = id fim . $",r75 (<variavel> → id <rvar>)
396,0 2 6 15 31 64 31 64 31 19 52 94 17 36 31 16 33 44,"- num_int fim ; repita leia ( id , id ) ate id = id fim . $",r73 (<fator> → <variavel>)
397,0 2 6 15 31 64 31 64 31 19 52 94 17 36 31 16 33 40,"- num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
